field,stage,llamaindex_classification,llamaindex_evidence,haystack_classification,haystack_evidence
source_id,index-time,transformed,"parser generates node ids from content; caller source_id survives only if copied into node metadata (LI-3, LI-9)",preserved,"caller may set meta.source_id; meta dict is copied verbatim into children (HS-4)"
source_id,query-time,preserved,"NodeWithScore carries node metadata back to the caller (LI-8)",preserved,"retrieved Document.meta returned unchanged (HS-6, HS-9)"
document_id,index-time,transformed,"node ids freshly generated per parse; stable only under identical bytes and parser version (LI-9)",transformed,"id = sha256 of serialized fields incl. embedding; changes when embedding or meta change (HS-5)"
document_id,query-time,preserved,"node id_ returned with each NodeWithScore (LI-8)",preserved,"Document.id returned with each hit (HS-9)"
chunk_id,index-time,synthesized,"child node id generated by parser; no span-aware chunk id contract (LI-9)",synthesized,"split children get new content-derived ids; parent id dropped (HS-4)"
chunk_id,query-time,preserved,"returned node ids are those assigned at parse time (LI-8)",preserved,"children keep their store-assigned ids through retrieval (HS-6)"
source_version,index-time,lost,"no native per-source version field in document/node model or write path (LI-1)",lost,"Document has no native version field; versioning must live in meta (HS-2)"
source_version,query-time,lost,"no version surfaced on retrieved nodes (LI-8)",lost,"retrieved Documents expose no native version attribute (HS-6, HS-9)"
corpus_version,index-time,lost,"no native corpus/release-version concept in the index write path (LI-1)",lost,"no native release concept; DuplicatePolicy is the only namespace-ish control (HS-2)"
corpus_version,query-time,transformed,"filters (doc_ids/node_ids) can emulate release isolation but are caller-managed (LI-8)",transformed,"runtime filters with REPLACE/MERGE policy can enforce release scoping if configured (HS-8)"
release_id,index-time,lost,"index namespaces are caller-managed; no release_id is written or enforced by core (LI-1, LI-5)",lost,"no release namespace in InMemoryDocumentStore; only DuplicatePolicy governs writes (HS-2)"
release_id,query-time,transformed,"metadata filters can enforce a release_id only when the wrapper stored it and passes the filter explicitly (LI-8)",transformed,"runtime metadata filters can scope by release_id when configured per call (HS-8)"
schema_version,index-time,lost,"node/schema versions are internal to serialization formats and not exposed as a validated contract (LI-1)",lost,"no user-facing schema_version contract on documents or stores (HS-2)"
schema_version,query-time,lost,"retrieved objects carry no schema_version the consumer can validate (LI-8)",lost,"retrieved Documents expose no schema_version (HS-9)"
embedding_id,index-time,transformed,"embeddings resolved from Settings fallback unless explicit (LI-2); model name/digest not recorded on nodes",transformed,"embedding stored on document but model name/digest not persisted alongside (HS-5)"
embedding_id,query-time,transformed,"query embedder resolved at retrieve time from same ambient state (LI-8)",preserved,"retriever uses the store's embedding similarity; query model set explicitly on component (HS-8)"
score,index-time,n/a,n/a,n/a,n/a
score,query-time,preserved,"vector store returns scores with nodes; scale depends on store (LI-8)",preserved,"raw BM25 score flows through unchanged because scale_score defaults to False (HS-7, HS-10)"
rank,index-time,n/a,n/a,n/a,n/a
rank,query-time,preserved,"order of returned NodeWithScore list defines rank (LI-8)",preserved,"store returns ranked list; retriever preserves order (HS-10)"
source_span,index-time,lost,"SentenceSplitter nodes do not expose char spans by default (LI-3, LI-9)",preserved,"DocumentSplitter records splits_start_idxs used for page/position splits (HS-4)"
source_span,query-time,lost,"no offsets available to the citation packer unless the wrapper stored them itself (LI-8)",preserved,"position metadata available when splitter configured to record it (REF-T1)"
citation_id,index-time,n/a,n/a,n/a,n/a
citation_id,query-time,transformed,"response synthesizer cites nodes it received; citation identity inherits any index-time loss (LI-6)",transformed,"AnswerBuilder cites upstream documents; inherits splitter id regeneration (HS-9)"
